task_id,task_type,device,input_shape_batch1,output_shape_batch1,precision,kernel_or_bitstream,latency_mean_us,latency_p50_us,latency_p95_us,samples,source_kind,source_ref,hardware,notes
block_06_ffn_island,fused_ffn_island,FPGA,1x197x768,1x197x768,,,,,,,,,,
block_06_residual2,residual_add,GPU,1x197x768,1x197x768,,,,,,,,,,
block_07_norm1,layer_norm,GPU,1x197x768,1x197x768,,,,,,,,,,
block_07_qkv,linear_qkv,GPU,1x197x768,1x197x2304,,,,,,,,,,
block_07_qkv,linear_qkv,FPGA,1x197x768,1x197x2304,,,,,,,,,,
block_07_attention,self_attention,GPU,1x197x2304,1x197x768,,,,,,,,,,
block_07_proj,linear_projection,GPU,1x197x768,1x197x768,,,,,,,,,,
block_07_proj,linear_projection,FPGA,1x197x768,1x197x768,,,,,,,,,,
block_07_residual1,residual_add,GPU,1x197x768,1x197x768,,,,,,,,,,
block_07_norm2,layer_norm,GPU,1x197x768,1x197x768,,,,,,,,,,
block_07_ffn_island,fused_ffn_island,GPU,1x197x768,1x197x768,,,,,,,,,,
block_07_ffn_island,fused_ffn_island,FPGA,1x197x768,1x197x768,,,,,,,,,,
block_07_residual2,residual_add,GPU,1x197x768,1x197x768,,,,,,,,,,
block_08_norm1,layer_norm,GPU,1x197x768,1x197x768,,,,,,,,,,
block_08_qkv,linear_qkv,GPU,1x197x768,1x197x2304,,,,,,,,,,
block_08_qkv,linear_qkv,FPGA,1x197x768,1x197x2304,,,,,,,,,,
block_08_attention,self_attention,GPU,1x197x2304,1x197x768,,,,,,,,,,
block_08_proj,linear_projection,GPU,1x197x768,1x197x768,,,,,,,,,,
block_08_proj,linear_projection,FPGA,1x197x768,1x197x768,,,,,,,,,,
block_08_residual1,residual_add,GPU,1x197x768,1x197x768,,,,,,,,,,
block_08_norm2,layer_norm,GPU,1x197x768,1x197x768,,,,,,,,,,
block_08_ffn_island,fused_ffn_island,GPU,1x197x768,1x197x768,,,,,,,,,,
block_08_ffn_island,fused_ffn_island,FPGA,1x197x768,1x197x768,,,,,,,,,,
block_08_residual2,residual_add,GPU,1x197x768,1x197x768,,,,,,,,,,
block_09_norm1,layer_norm,GPU,1x197x768,1x197x768,,,,,,,,,,
block_09_qkv,linear_qkv,GPU,1x197x768,1x197x2304,,,,,,,,,,
block_09_qkv,linear_qkv,FPGA,1x197x768,1x197x2304,,,,,,,,,,
block_09_attention,self_attention,GPU,1x197x2304,1x197x768,,,,,,,,,,
block_09_proj,linear_projection,GPU,1x197x768,1x197x768,,,,,,,,,,
block_09_proj,linear_projection,FPGA,1x197x768,1x197x768,,,,,,,,,,
block_09_residual1,residual_add,GPU,1x197x768,1x197x768,,,,,,,,,,
block_09_norm2,layer_norm,GPU,1x197x768,1x197x768,,,,,,,,,,
block_09_ffn_island,fused_ffn_island,GPU,1x197x768,1x197x768,,,,,,,,,,
block_09_ffn_island,fused_ffn_island,FPGA,1x197x768,1x197x768,,,,,,,,,,
block_09_residual2,residual_add,GPU,1x197x768,1x197x768,,,,,,,,,,
block_10_norm1,layer_norm,GPU,1x197x768,1x197x768,,,,,,,,,,
block_10_qkv,linear_qkv,GPU,1x197x768,1x197x2304,,,,,,,,,,
block_10_qkv,linear_qkv,FPGA,1x197x768,1x197x2304,,,,,,,,,,
block_10_attention,self_attention,GPU,1x197x2304,1x197x768,,,,,,,,,,
block_10_proj,linear_projection,GPU,1x197x768,1x197x768,,,,,,,,,,
block_10_proj,linear_projection,FPGA,1x197x768,1x197x768,,,,,,,,,,
block_10_residual1,residual_add,GPU,1x197x768,1x197x768,,,,,,,,,,
block_10_norm2,layer_norm,GPU,1x197x768,1x197x768,,,,,,,,,,
block_10_ffn_island,fused_ffn_island,GPU,1x197x768,1x197x768,,,,,,,,,,
block_10_ffn_island,fused_ffn_island,FPGA,1x197x768,1x197x768,,,,,,,,,,
block_10_residual2,residual_add,GPU,1x197x768,1x197x768,,,,,,,,,,
block_11_norm1,layer_norm,GPU,1x197x768,1x197x768,,,,,,,,,,
block_11_qkv,linear_qkv,GPU,1x197x768,1x197x2304,,,,,,,,,,
block_11_qkv,linear_qkv,FPGA,1x197x768,1x197x2304,,,,,,,,,,
block_11_attention,self_attention,GPU,1x197x2304,1x197x768,,,,,,,,,,
block_11_proj,linear_projection,GPU,1x197x768,1x197x768,,,,,,,,,,
block_11_proj,linear_projection,FPGA,1x197x768,1x197x768,,,,,,,,,,
block_11_residual1,residual_add,GPU,1x197x768,1x197x768,,,,,,,,,,
block_11_norm2,layer_norm,GPU,1x197x768,1x197x768,,,,,,,,,,
block_11_ffn_island,fused_ffn_island,GPU,1x197x768,1x197x768,,,,,,,,,,
block_11_ffn_island,fused_ffn_island,FPGA,1x197x768,1x197x768,,,,,,,,,,
block_11_residual2,residual_add,GPU,1x197x768,1x197x768,,,,,,,,,,
final_norm,layer_norm,GPU,1x197x768,1x197x768,,,,,,,,,,
class_token_select,class_token_select,GPU,1x197x768,1x768,,,,,,,,,,
classifier,linear_classifier,GPU,1x768,1x1000,,,,,,,,,,
classifier,linear_classifier,FPGA,1x768,1x1000,,,,,,,,,,
