task_id,task_type,device,input_shape_batch1,output_shape_batch1,precision,latency_mean_us,latency_p50_us,latency_p95_us,samples,source_kind,source_ref,hardware,notes
block_01_gelu,gelu,GPU,1x197x3072,1x197x3072,FP32,,,,,,,,
block_01_fc2,linear_ffn2,GPU,1x197x3072,1x197x768,FP32,,,,,,,,
block_01_fc2,linear_ffn2,FPGA,1x197x3072,1x197x768,,,,,,,,,
block_01_residual2,residual_add,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_02_norm1,layer_norm,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_02_qkv,linear_qkv,GPU,1x197x768,1x197x2304,FP32,,,,,,,,
block_02_qkv,linear_qkv,FPGA,1x197x768,1x197x2304,,,,,,,,,
block_02_attention,self_attention,GPU,1x197x2304,1x197x768,FP32,,,,,,,,
block_02_proj,linear_projection,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_02_proj,linear_projection,FPGA,1x197x768,1x197x768,,,,,,,,,
block_02_residual1,residual_add,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_02_norm2,layer_norm,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_02_fc1,linear_ffn1,GPU,1x197x768,1x197x3072,FP32,,,,,,,,
block_02_fc1,linear_ffn1,FPGA,1x197x768,1x197x3072,,,,,,,,,
block_02_gelu,gelu,GPU,1x197x3072,1x197x3072,FP32,,,,,,,,
block_02_fc2,linear_ffn2,GPU,1x197x3072,1x197x768,FP32,,,,,,,,
block_02_fc2,linear_ffn2,FPGA,1x197x3072,1x197x768,,,,,,,,,
block_02_residual2,residual_add,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_03_norm1,layer_norm,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_03_qkv,linear_qkv,GPU,1x197x768,1x197x2304,FP32,,,,,,,,
block_03_qkv,linear_qkv,FPGA,1x197x768,1x197x2304,,,,,,,,,
block_03_attention,self_attention,GPU,1x197x2304,1x197x768,FP32,,,,,,,,
block_03_proj,linear_projection,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_03_proj,linear_projection,FPGA,1x197x768,1x197x768,,,,,,,,,
block_03_residual1,residual_add,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_03_norm2,layer_norm,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_03_fc1,linear_ffn1,GPU,1x197x768,1x197x3072,FP32,,,,,,,,
block_03_fc1,linear_ffn1,FPGA,1x197x768,1x197x3072,,,,,,,,,
block_03_gelu,gelu,GPU,1x197x3072,1x197x3072,FP32,,,,,,,,
block_03_fc2,linear_ffn2,GPU,1x197x3072,1x197x768,FP32,,,,,,,,
block_03_fc2,linear_ffn2,FPGA,1x197x3072,1x197x768,,,,,,,,,
block_03_residual2,residual_add,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_04_norm1,layer_norm,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_04_qkv,linear_qkv,GPU,1x197x768,1x197x2304,FP32,,,,,,,,
block_04_qkv,linear_qkv,FPGA,1x197x768,1x197x2304,,,,,,,,,
block_04_attention,self_attention,GPU,1x197x2304,1x197x768,FP32,,,,,,,,
block_04_proj,linear_projection,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_04_proj,linear_projection,FPGA,1x197x768,1x197x768,,,,,,,,,
block_04_residual1,residual_add,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_04_norm2,layer_norm,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_04_fc1,linear_ffn1,GPU,1x197x768,1x197x3072,FP32,,,,,,,,
block_04_fc1,linear_ffn1,FPGA,1x197x768,1x197x3072,,,,,,,,,
block_04_gelu,gelu,GPU,1x197x3072,1x197x3072,FP32,,,,,,,,
block_04_fc2,linear_ffn2,GPU,1x197x3072,1x197x768,FP32,,,,,,,,
block_04_fc2,linear_ffn2,FPGA,1x197x3072,1x197x768,,,,,,,,,
block_04_residual2,residual_add,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_05_norm1,layer_norm,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_05_qkv,linear_qkv,GPU,1x197x768,1x197x2304,FP32,,,,,,,,
block_05_qkv,linear_qkv,FPGA,1x197x768,1x197x2304,,,,,,,,,
block_05_attention,self_attention,GPU,1x197x2304,1x197x768,FP32,,,,,,,,
block_05_proj,linear_projection,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_05_proj,linear_projection,FPGA,1x197x768,1x197x768,,,,,,,,,
block_05_residual1,residual_add,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_05_norm2,layer_norm,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_05_fc1,linear_ffn1,GPU,1x197x768,1x197x3072,FP32,,,,,,,,
block_05_fc1,linear_ffn1,FPGA,1x197x768,1x197x3072,,,,,,,,,
block_05_gelu,gelu,GPU,1x197x3072,1x197x3072,FP32,,,,,,,,
block_05_fc2,linear_ffn2,GPU,1x197x3072,1x197x768,FP32,,,,,,,,
block_05_fc2,linear_ffn2,FPGA,1x197x3072,1x197x768,,,,,,,,,
block_05_residual2,residual_add,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_06_norm1,layer_norm,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_06_qkv,linear_qkv,GPU,1x197x768,1x197x2304,FP32,,,,,,,,
block_06_qkv,linear_qkv,FPGA,1x197x768,1x197x2304,,,,,,,,,
block_06_attention,self_attention,GPU,1x197x2304,1x197x768,FP32,,,,,,,,
block_06_proj,linear_projection,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_06_proj,linear_projection,FPGA,1x197x768,1x197x768,,,,,,,,,
block_06_residual1,residual_add,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_06_norm2,layer_norm,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_06_fc1,linear_ffn1,GPU,1x197x768,1x197x3072,FP32,,,,,,,,
block_06_fc1,linear_ffn1,FPGA,1x197x768,1x197x3072,,,,,,,,,
block_06_gelu,gelu,GPU,1x197x3072,1x197x3072,FP32,,,,,,,,
block_06_fc2,linear_ffn2,GPU,1x197x3072,1x197x768,FP32,,,,,,,,
block_06_fc2,linear_ffn2,FPGA,1x197x3072,1x197x768,,,,,,,,,
block_06_residual2,residual_add,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_07_norm1,layer_norm,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_07_qkv,linear_qkv,GPU,1x197x768,1x197x2304,FP32,,,,,,,,
block_07_qkv,linear_qkv,FPGA,1x197x768,1x197x2304,,,,,,,,,
block_07_attention,self_attention,GPU,1x197x2304,1x197x768,FP32,,,,,,,,
block_07_proj,linear_projection,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_07_proj,linear_projection,FPGA,1x197x768,1x197x768,,,,,,,,,
block_07_residual1,residual_add,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_07_norm2,layer_norm,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_07_fc1,linear_ffn1,GPU,1x197x768,1x197x3072,FP32,,,,,,,,
block_07_fc1,linear_ffn1,FPGA,1x197x768,1x197x3072,,,,,,,,,
block_07_gelu,gelu,GPU,1x197x3072,1x197x3072,FP32,,,,,,,,
block_07_fc2,linear_ffn2,GPU,1x197x3072,1x197x768,FP32,,,,,,,,
block_07_fc2,linear_ffn2,FPGA,1x197x3072,1x197x768,,,,,,,,,
block_07_residual2,residual_add,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_08_norm1,layer_norm,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_08_qkv,linear_qkv,GPU,1x197x768,1x197x2304,FP32,,,,,,,,
block_08_qkv,linear_qkv,FPGA,1x197x768,1x197x2304,,,,,,,,,
block_08_attention,self_attention,GPU,1x197x2304,1x197x768,FP32,,,,,,,,
block_08_proj,linear_projection,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_08_proj,linear_projection,FPGA,1x197x768,1x197x768,,,,,,,,,
block_08_residual1,residual_add,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_08_norm2,layer_norm,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_08_fc1,linear_ffn1,GPU,1x197x768,1x197x3072,FP32,,,,,,,,
block_08_fc1,linear_ffn1,FPGA,1x197x768,1x197x3072,,,,,,,,,
block_08_gelu,gelu,GPU,1x197x3072,1x197x3072,FP32,,,,,,,,
block_08_fc2,linear_ffn2,GPU,1x197x3072,1x197x768,FP32,,,,,,,,
block_08_fc2,linear_ffn2,FPGA,1x197x3072,1x197x768,,,,,,,,,
block_08_residual2,residual_add,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_09_norm1,layer_norm,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_09_qkv,linear_qkv,GPU,1x197x768,1x197x2304,FP32,,,,,,,,
block_09_qkv,linear_qkv,FPGA,1x197x768,1x197x2304,,,,,,,,,
block_09_attention,self_attention,GPU,1x197x2304,1x197x768,FP32,,,,,,,,
block_09_proj,linear_projection,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_09_proj,linear_projection,FPGA,1x197x768,1x197x768,,,,,,,,,
block_09_residual1,residual_add,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_09_norm2,layer_norm,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_09_fc1,linear_ffn1,GPU,1x197x768,1x197x3072,FP32,,,,,,,,
block_09_fc1,linear_ffn1,FPGA,1x197x768,1x197x3072,,,,,,,,,
block_09_gelu,gelu,GPU,1x197x3072,1x197x3072,FP32,,,,,,,,
block_09_fc2,linear_ffn2,GPU,1x197x3072,1x197x768,FP32,,,,,,,,
block_09_fc2,linear_ffn2,FPGA,1x197x3072,1x197x768,,,,,,,,,
block_09_residual2,residual_add,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_10_norm1,layer_norm,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_10_qkv,linear_qkv,GPU,1x197x768,1x197x2304,FP32,,,,,,,,
block_10_qkv,linear_qkv,FPGA,1x197x768,1x197x2304,,,,,,,,,
block_10_attention,self_attention,GPU,1x197x2304,1x197x768,FP32,,,,,,,,
block_10_proj,linear_projection,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_10_proj,linear_projection,FPGA,1x197x768,1x197x768,,,,,,,,,
block_10_residual1,residual_add,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_10_norm2,layer_norm,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_10_fc1,linear_ffn1,GPU,1x197x768,1x197x3072,FP32,,,,,,,,
block_10_fc1,linear_ffn1,FPGA,1x197x768,1x197x3072,,,,,,,,,
block_10_gelu,gelu,GPU,1x197x3072,1x197x3072,FP32,,,,,,,,
block_10_fc2,linear_ffn2,GPU,1x197x3072,1x197x768,FP32,,,,,,,,
block_10_fc2,linear_ffn2,FPGA,1x197x3072,1x197x768,,,,,,,,,
block_10_residual2,residual_add,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_11_norm1,layer_norm,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_11_qkv,linear_qkv,GPU,1x197x768,1x197x2304,FP32,,,,,,,,
block_11_qkv,linear_qkv,FPGA,1x197x768,1x197x2304,,,,,,,,,
block_11_attention,self_attention,GPU,1x197x2304,1x197x768,FP32,,,,,,,,
block_11_proj,linear_projection,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_11_proj,linear_projection,FPGA,1x197x768,1x197x768,,,,,,,,,
block_11_residual1,residual_add,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_11_norm2,layer_norm,GPU,1x197x768,1x197x768,FP32,,,,,,,,
block_11_fc1,linear_ffn1,GPU,1x197x768,1x197x3072,FP32,,,,,,,,
block_11_fc1,linear_ffn1,FPGA,1x197x768,1x197x3072,,,,,,,,,
block_11_gelu,gelu,GPU,1x197x3072,1x197x3072,FP32,,,,,,,,
block_11_fc2,linear_ffn2,GPU,1x197x3072,1x197x768,FP32,,,,,,,,
block_11_fc2,linear_ffn2,FPGA,1x197x3072,1x197x768,,,,,,,,,
block_11_residual2,residual_add,GPU,1x197x768,1x197x768,FP32,,,,,,,,
final_norm,layer_norm,GPU,1x197x768,1x197x768,FP32,,,,,,,,
class_token_select,class_token_select,GPU,1x197x768,1x768,FP32,,,,,,,,
classifier,linear_classifier,GPU,1x768,1x1000,FP32,,,,,,,,
classifier,linear_classifier,FPGA,1x768,1x1000,,,,,,,,,
