request_id,selected_mode,task_id,task_type,device,start_us,finish_us
1,fixed_manifest,block_03_norm2,layer_norm,GPU,22696.072640000013,22718.202240000013
1,fixed_manifest,block_03_ffn_island,fused_ffn_island,FPGA,22876.967040000014,23209.714560000015
1,fixed_manifest,block_03_residual2,residual_add,GPU,23368.479360000016,23386.82656000002
1,fixed_manifest,block_04_norm1,layer_norm,GPU,23386.82656000002,23408.95616000002
1,fixed_manifest,block_04_qkv,linear_qkv,GPU,23408.95616000002,23851.68864000002
1,fixed_manifest,block_04_attention,self_attention,GPU,23851.68864000002,24007.71520000002
1,fixed_manifest,block_04_proj,linear_projection,GPU,24007.71520000002,24159.95936000002
1,fixed_manifest,block_04_residual1,residual_add,GPU,24159.95936000002,24178.30656000002
1,fixed_manifest,block_04_norm2,layer_norm,GPU,24178.30656000002,24200.43616000002
1,fixed_manifest,block_04_ffn_island,fused_ffn_island,FPGA,24359.20096000002,24691.94848000002
1,fixed_manifest,block_04_residual2,residual_add,GPU,24850.71328000002,24869.060480000026
1,fixed_manifest,block_05_norm1,layer_norm,GPU,24869.060480000026,24891.190080000026
1,fixed_manifest,block_05_qkv,linear_qkv,GPU,24891.190080000026,25333.922560000025
1,fixed_manifest,block_05_attention,self_attention,GPU,25333.922560000025,25489.949120000027
1,fixed_manifest,block_05_proj,linear_projection,GPU,25489.949120000027,25642.193280000025
1,fixed_manifest,block_05_residual1,residual_add,GPU,25642.193280000025,25660.540480000025
1,fixed_manifest,block_05_norm2,layer_norm,GPU,25660.540480000025,25682.670080000025
1,fixed_manifest,block_05_ffn_island,fused_ffn_island,FPGA,25841.434880000026,26174.182400000027
1,fixed_manifest,block_05_residual2,residual_add,GPU,26332.947200000028,26351.29440000003
1,fixed_manifest,block_06_norm1,layer_norm,GPU,26351.29440000003,26373.42400000003
1,fixed_manifest,block_06_qkv,linear_qkv,GPU,26373.42400000003,26816.15648000003
1,fixed_manifest,block_06_attention,self_attention,GPU,26816.15648000003,26972.183040000033
1,fixed_manifest,block_06_proj,linear_projection,GPU,26972.183040000033,27124.42720000003
1,fixed_manifest,block_06_residual1,residual_add,GPU,27124.42720000003,27142.77440000003
1,fixed_manifest,block_06_norm2,layer_norm,GPU,27142.77440000003,27164.90400000003
1,fixed_manifest,block_06_ffn_island,fused_ffn_island,FPGA,27323.668800000032,27656.416320000033
1,fixed_manifest,block_06_residual2,residual_add,GPU,27815.181120000034,27833.528320000038
1,fixed_manifest,block_07_norm1,layer_norm,GPU,27833.528320000038,27855.657920000038
1,fixed_manifest,block_07_qkv,linear_qkv,GPU,27855.657920000038,28298.390400000037
1,fixed_manifest,block_07_attention,self_attention,GPU,28298.390400000037,28454.41696000004
1,fixed_manifest,block_07_proj,linear_projection,GPU,28454.41696000004,28606.661120000037
1,fixed_manifest,block_07_residual1,residual_add,GPU,28606.661120000037,28625.008320000037
1,fixed_manifest,block_07_norm2,layer_norm,GPU,28625.008320000037,28647.137920000037
1,fixed_manifest,block_07_ffn_island,fused_ffn_island,FPGA,28805.90272000004,29138.65024000004
1,fixed_manifest,block_07_residual2,residual_add,GPU,29297.415040000044,29315.762240000044
1,fixed_manifest,block_08_norm1,layer_norm,GPU,29315.762240000044,29337.891840000044
1,fixed_manifest,block_08_qkv,linear_qkv,GPU,29337.891840000044,29780.624320000043
1,fixed_manifest,block_08_attention,self_attention,GPU,29780.624320000043,29936.650880000045
1,fixed_manifest,block_08_proj,linear_projection,GPU,29936.650880000045,30088.895040000043
1,fixed_manifest,block_08_residual1,residual_add,GPU,30088.895040000043,30107.242240000043
1,fixed_manifest,block_08_norm2,layer_norm,GPU,30107.242240000043,30129.371840000043
1,fixed_manifest,block_08_ffn_island,fused_ffn_island,FPGA,30288.136640000048,30620.884160000045
1,fixed_manifest,block_08_residual2,residual_add,GPU,30779.64896000005,30797.99616000005
1,fixed_manifest,block_09_norm1,layer_norm,GPU,30797.99616000005,30820.12576000005
1,fixed_manifest,block_09_qkv,linear_qkv,GPU,30820.12576000005,31262.858240000052
