mode,dma_mode,architecture,tile_tokens,buffers,ffn_latency_us,speedup_vs_monolithic,conservative_buffer_bytes,resident_weight_bytes,total_local_bytes
end_to_end_tile_stream,per_tile_dma,shared_fc_engine,64,1,560.6080000000001,1.1385843940864204,983040,1179648,2162688
end_to_end_tile_stream,streaming_descriptor,shared_fc_engine,64,1,460.7391999999999,1.3853814044908705,983040,1179648,2162688
internal_dataflow_whole_tensor_dma,whole_tensor,independent_fc_engines,64,1,519.81248,1.2279418916606235,983040,1179648,2162688
end_to_end_tile_stream,per_tile_dma,independent_fc_engines,64,1,560.5020800000001,1.1387995562835376,983040,1179648,2162688
end_to_end_tile_stream,streaming_descriptor,independent_fc_engines,64,1,438.94847999999996,1.454155895470922,983040,1179648,2162688
internal_dataflow_whole_tensor_dma,whole_tensor,shared_fc_engine,64,2,638.29952,1.0,1966080,1179648,3145728
end_to_end_tile_stream,per_tile_dma,shared_fc_engine,64,2,492.73312,1.2954264572269873,1966080,1179648,3145728
end_to_end_tile_stream,streaming_descriptor,shared_fc_engine,64,2,450.9664,1.4154037196562759,1966080,1179648,3145728
internal_dataflow_whole_tensor_dma,whole_tensor,independent_fc_engines,64,2,519.81248,1.2279418916606235,1966080,1179648,3145728
end_to_end_tile_stream,per_tile_dma,independent_fc_engines,64,2,433.60992,1.4720593108201954,1966080,1179648,3145728
end_to_end_tile_stream,streaming_descriptor,independent_fc_engines,64,2,346.76415999999995,1.840730945204949,1966080,1179648,3145728
internal_dataflow_whole_tensor_dma,whole_tensor,shared_fc_engine,197,1,638.29952,1.0,3025920,1179648,4205568
end_to_end_tile_stream,per_tile_dma,shared_fc_engine,197,1,638.2995200000001,0.9999999999999998,3025920,1179648,4205568
end_to_end_tile_stream,streaming_descriptor,shared_fc_engine,197,1,638.2995200000001,0.9999999999999998,3025920,1179648,4205568
internal_dataflow_whole_tensor_dma,whole_tensor,independent_fc_engines,197,1,638.29952,1.0,3025920,1179648,4205568
end_to_end_tile_stream,per_tile_dma,independent_fc_engines,197,1,638.2995200000001,0.9999999999999998,3025920,1179648,4205568
end_to_end_tile_stream,streaming_descriptor,independent_fc_engines,197,1,638.2995200000001,0.9999999999999998,3025920,1179648,4205568
internal_dataflow_whole_tensor_dma,whole_tensor,shared_fc_engine,197,2,638.29952,1.0,6051840,1179648,7231488
end_to_end_tile_stream,per_tile_dma,shared_fc_engine,197,2,638.2995200000001,0.9999999999999998,6051840,1179648,7231488
end_to_end_tile_stream,streaming_descriptor,shared_fc_engine,197,2,638.2995200000001,0.9999999999999998,6051840,1179648,7231488
internal_dataflow_whole_tensor_dma,whole_tensor,independent_fc_engines,197,2,638.29952,1.0,6051840,1179648,7231488
end_to_end_tile_stream,per_tile_dma,independent_fc_engines,197,2,638.2995200000001,0.9999999999999998,6051840,1179648,7231488
end_to_end_tile_stream,streaming_descriptor,independent_fc_engines,197,2,638.2995200000001,0.9999999999999998,6051840,1179648,7231488
