path_kind,pcie_effective_bandwidth_GBps,one_way_fixed_latency_us,fpga_linear_speedup_over_gpu,policy,analytical_makespan_us,speedup_vs_gpu_only,offloaded_linear_tasks,cross_device_edges,logical_cross_device_bytes,physical_link_bytes,valid_for_target_prediction
host_staged_two_copy,8,5,2,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,8,5,2,static_all_fpga,35392.14825600011,0.6268163128029124,49,97,116198400,232396800,False
host_staged_two_copy,8,5,2,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,8,5,4,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,8,5,4,static_all_fpga,31147.674448000125,0.7122321735138204,49,97,116198400,232396800,False
host_staged_two_copy,8,5,4,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,8,5,8,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,8,5,8,static_all_fpga,29025.437544000117,0.7643080604166732,49,97,116198400,232396800,False
host_staged_two_copy,8,5,8,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,8,5,16,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,8,5,16,static_all_fpga,27964.319092000103,0.7933100676978906,49,97,116198400,232396800,False
host_staged_two_copy,8,5,16,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,8,10,2,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,8,10,2,static_all_fpga,35877.14825600011,0.6183427878298519,49,97,116198400,232396800,False
host_staged_two_copy,8,10,2,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,8,10,4,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,8,10,4,static_all_fpga,31632.67444800013,0.7013120534107273,49,97,116198400,232396800,False
host_staged_two_copy,8,10,4,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,8,10,8,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,8,10,8,static_all_fpga,29510.43754400012,0.7517467621048677,49,97,116198400,232396800,False
host_staged_two_copy,8,10,8,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,8,10,16,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,8,10,16,static_all_fpga,28449.319092000103,0.7797858289774753,49,97,116198400,232396800,False
host_staged_two_copy,8,10,16,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,8,20,2,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,8,20,2,static_all_fpga,36847.14825600011,0.6020649337058956,49,97,116198400,232396800,False
host_staged_two_copy,8,20,2,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,8,20,4,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,8,20,4,static_all_fpga,32602.674448000133,0.6804465046995805,49,97,116198400,232396800,False
host_staged_two_copy,8,20,4,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,8,20,8,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,8,20,8,static_all_fpga,30480.43754400012,0.7278234060772815,49,97,116198400,232396800,False
host_staged_two_copy,8,20,8,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,8,20,16,gpu_only,22184.375872000015,1.0,0,0,0,0,False
